Home_team,Away_team,Home_form,Away_form,Home_avg_scored,Away_avg_scored,Home_avg_conceded,Away_avg_conceded,Result
Nott'm Forest,Burnley,6,1,1.4,0.8,1.0,2.2,H
Man City,Arsenal,11,12,1.8,2.0,0.8,0.8,H
Crystal Palace,West Ham,10,7,1.4,1.6,0.8,1.6,D
Brighton,Chelsea,10,3,1.4,0.8,0.8,1.8,H
Burnley,Man City,1,11,0.4,1.8,2.2,0.8,A
Bournemouth,Leeds,9,8,1.2,1.0,0.8,0.4,D
Sunderland,Nott'm Forest,9,9,1.4,2.0,1.2,0.8,A
Fulham,Aston Villa,5,7,0.6,1.8,0.8,2.2,H
Liverpool,Crystal Palace,7,8,1.4,1.2,1.2,0.8,H
West Ham,Everton,8,7,1.2,1.6,0.6,1.2,H
Wolves,Tottenham,7,2,1.2,0.8,2.0,2.0,A
Arsenal,Newcastle,9,6,1.4,1.2,1.0,1.4,H
Man United,Brentford,7,5,1.6,0.8,1.4,0.8,H
Leeds,Burnley,9,1,1.4,0.4,0.6,2.0,H
Wolves,Sunderland,4,6,0.8,1.2,2.2,2.2,D
Arsenal,Fulham,9,8,1.2,0.8,0.8,0.6,H
Brentford,West Ham,4,8,1.0,1.4,1.2,0.8,H
Newcastle,Brighton,3,13,0.8,2.0,1.4,0.6,H
Bournemouth,Crystal Palace,9,8,1.6,1.2,1.2,1.0,H
Man United,Liverpool,10,10,1.8,1.8,1.2,1.0,H
Aston Villa,Tottenham,7,5,1.6,0.8,1.6,1.4,A
Chelsea,Nott'm Forest,0,11,0.0,2.6,2.2,0.4,A
Everton,Man City,4,11,1.4,1.8,1.6,0.8,D
Liverpool,Chelsea,9,0,2.0,0.2,1.4,2.6,D
Brighton,Wolves,10,2,2.0,0.6,1.2,2.2,H
Fulham,Bournemouth,7,11,0.8,2.2,1.2,1.2,A
Man City,Brentford,11,6,2.0,1.2,1.0,0.8,H
Sunderland,Man United,7,10,1.4,1.8,2.2,1.4,D
Nott'm Forest,Newcastle,13,3,3.2,1.2,0.6,1.6,D
West Ham,Arsenal,7,9,1.2,1.6,1.2,0.8,A
Crystal Palace,Everton,5,5,0.6,2.0,1.4,1.8,D
Burnley,Aston Villa,0,7,0.6,1.6,2.6,1.4,D
Tottenham,Leeds,7,11,1.0,2.0,1.4,0.8,D
Man City,Crystal Palace,13,5,2.4,1.0,0.8,1.8,H
Aston Villa,Liverpool,5,10,1.6,2.0,1.8,1.2,H
Wolves,Fulham,1,4,0.2,0.2,2.4,1.2,D
Man United,Nott'm Forest,10,11,1.4,2.8,1.0,0.8,H
Brentford,Crystal Palace,5,2,1.2,0.6,1.4,2.2,D
Everton,Sunderland,3,5,1.8,1.0,2.2,2.0,A
Leeds,Brighton,11,10,2.2,2.2,1.0,1.0,H
Newcastle,West Ham,4,7,1.2,1.2,1.4,1.0,H
Arsenal,Burnley,9,1,1.4,0.8,0.8,2.4,H
Bournemouth,Man City,13,13,2.0,2.4,0.8,0.8,D
Chelsea,Tottenham,1,8,0.4,1.2,2.2,1.0,H
Nott'm Forest,Bournemouth,10,11,3.0,1.8,1.2,0.8,D
Man City,Aston Villa,11,7,2.2,2.2,0.8,2.0,A
Sunderland,Chelsea,5,4,1.4,0.8,2.2,1.8,H
Liverpool,Brentford,7,5,2.0,1.2,2.0,1.4,D
Tottenham,Everton,8,2,1.4,1.6,1.2,2.4,H
Crystal Palace,Arsenal,2,12,1.0,1.4,2.6,0.4,A
Burnley,Wolves,1,2,0.8,0.4,2.2,1.8,D
Brighton,Man United,7,13,1.8,1.8,1.2,1.0,A
Fulham,Newcastle,5,7,0.4,1.6,1.0,1.2,H
West Ham,Leeds,4,11,0.6,2.0,1.6,0.8,H
